No,Nama_Bahan,Porsi_g,Kalori_kal,Karbohidrat_g,Protein_g,Lemak_g,Serat_g
1,Nasi,100,180.0,39.8,3.0,0.3,0.2
2,Nasi tim,100,120.0,26.0,2.4,0.4,0.5
3,Tapai beras,100,99.0,22.4,1.7,0.3,
4,"Tepung beras, mentah",100,353.0,80.0,7.0,0.5,2.4
5,Nasi beras merah,100,149.0,32.5,2.8,0.4,0.3
6,"Bihun, mentah",100,348.0,82.1,4.7,0.1,1.2
7,Bihun goreng instan,100,381.0,80.3,6.1,3.9,
8,"Bihun Jagung, mentah",100,354.0,87.4,0.5,0.3,3.0
9,Nasi jagung,100,357.0,79.5,8.8,0.5,6.2
10,"Jagung muda, rebus",100,142.0,30.3,5.0,0.7,0.8
11,"Jagung kuning, tepung",100,355.0,73.7,9.2,3.9,7.2
12,"Jagung kuning pipil, rebus",100,154.0,28.4,3.8,3.5,0.7
13,Tepung jagung putih,100,355.0,73.7,9.2,3.9,7.2
14,Ketupat ketan,100,212.0,38.6,4.0,4.6,0.2
15,"Ketan hitam, matang",100,181.0,37.3,4.0,1.2,0.3
16,Tapai ketan hitam,100,166.0,34.4,3.8,1.0,0.3
17,"Ketan putih, matang",100,163.0,35.7,3.0,0.4,0.2
18,Tapai ketan putih,100,172.0,37.5,3.0,0.5,0.6
19,"Maizena, tepung",100,341.0,85.0,0.3,,7.0
20,"Makaroni, mentah",100,353.0,78.7,8.7,0.4,4.9
21,Mi basah,100,88.0,14.0,0.6,3.3,0.1
22,Mi kering,100,339.0,6.3,10.0,1.7,0.4
23,Misoa,100,345.0,78.0,8.5,2.2,0.5
24,Roti putih,100,248.0,50.0,8.0,1.2,9.1
25,Tepung terigu,100,333.0,77.2,9.0,1.0,0.3
26,Amparan tatak,100,191.0,34.0,1.3,5.5,
27,"Apang kukus, kue",100,202.0,46.7,3.0,0.3,
28,"Apem, kue",100,148.0,33.9,2.0,0.5,
29,Biskuit,100,458.0,75.1,6.9,14.4,2.1
30,"Bakpia, kue",100,272.0,44.1,8.7,6.7,0.9
31,Bakwan,100,280.0,39.0,8.2,10.2,3.4
32,Bantal,100,190.0,43.5,3.3,0.3,3.4
33,Baruasa,100,417.0,79.3,6.5,8.2,
34,Batar daan,100,107.0,19.6,2.2,2.2,
35,Bika ambon,100,199.0,44.4,2.1,1.5,0.3
36,Bingka,100,273.0,39.1,5.3,10.6,
37,Bobengka,100,225.0,45.2,5.3,2.6,
38,Bolu peca,100,197.0,35.6,3.3,4.6,
39,Brem,100,249.0,58.0,3.4,0.4,
40,Bubur tinotuan (Manado),100,156.0,15.6,2.3,0.2,8.2
41,Cake tape,100,323.0,50.1,4.9,11.5,1.4
42,Cangkuning,100,204.0,31.4,2.8,7.5,
43,Dodol bali,100,298.0,65.9,3.7,2.1,0.4
44,Dodol galamai,100,348.0,76.1,0.4,3.8,0.5
45,Dodol kedondong,100,331.0,63.8,1.9,7.6,1.0
46,Dodol manado,100,373.0,51.9,4.3,16.5,0.4
47,Emping beras,100,403.0,85.3,10.6,2.2,0.2
48,Gemblong,100,274.0,55.5,1.7,5.4,2.2
49,Gendar goreng,100,407.0,32.0,6.4,28.2,0.1
50,Intip goreng,100,474.0,62.3,7.6,21.6,1.2
51,Jagung gerontol,100,156.0,33.3,2.7,1.3,1.0
52,Jagung titi,100,374.0,79.1,9.4,2.2,0.8
53,Japilus,100,500.0,67.3,1.2,25.1,0.4
54,Kakicak,100,296.0,36.7,3.4,15.1,
55,Kambose,100,164.0,32.6,3.0,2.4,4.3
56,Kapusa,100,158.0,27.8,4.4,3.2,5.3
57,Keddo bodong,100,290.0,55.2,4.6,5.7,
58,"Kelepon, kue",100,215.0,41.8,3.7,3.7,1.0
59,Kereput,100,580.0,51.1,4.8,39.6,
60,Ketoprak,100,153.0,13.0,7.9,7.7,2.9
61,Ketupat kandangan,100,109.0,13.4,2.2,5.2,
62,Koya,100,366.0,77.5,4.2,4.3,0.8
63,Koya mirasa,100,370.0,82.2,8.0,1.0,0.4
64,Koyabu,100,241.0,47.2,3.4,4.3,
65,Kue ali,100,440.0,64.5,3.8,18.5,0.3
66,Kue bangen,100,442.0,74.2,3.3,14.7,
67,Kue gelang,100,448.0,70.0,5.8,16.1,
68,Kue jahe,100,425.0,84.6,1.6,8.8,1.2
69,Kue kelapa,100,591.0,47.5,5.6,42.1,
70,Kue koa,100,340.0,79.3,4.8,0.4,
71,Kue ku temu,100,214.0,49.6,3.5,0.2,
72,Kue lumpur,100,291.0,44.1,3.6,11.1,
73,Kue pelita,100,141.0,17.6,5.3,5.5,
74,Kue putu cangkir,100,304.0,54.9,5.3,7.0,0.9
75,Kue sus,100,221.0,24.8,7.5,10.2,
76,Kue thipan,100,247.0,49.5,2.9,4.2,
77,Laksa/Putu mayang,100,121.0,21.1,1.7,3.4,
78,Lapis legit,100,389.0,55.5,6.6,15.7,0.5
79,Lupis ketan,100,164.0,34.5,1.8,2.1,0.7
80,Manan samin,100,379.0,50.6,3.4,18.1,
81,Martabak india,100,153.0,24.3,4.5,4.2,
82,Martabak mesir,100,278.0,45.0,5.1,8.6,
83,Masekat,100,369.0,74.1,2.1,7.0,4.0
84,Mie aceh rebus,100,113.0,18.1,3.0,3.2,
85,Mie ayam,100,102.0,10.5,6.2,3.9,
86,Mie bakso,100,114.0,16.4,5.3,3.0,0.1
87,Mie celon,100,102.0,17.8,3.0,2.1,
88,Mie pangsit basah,100,105.0,9.4,5.9,4.9,
89,Nasi gemuk,100,192.0,24.4,3.8,8.8,0.7
90,Nasi gurih,100,190.0,26.0,4.7,7.5,0.7
91,Nasi minyak,100,207.0,37.1,3.5,5.0,0.8
92,Nasi rames,100,155.0,19.1,10.3,4.2,
93,Nopia spesial,100,387.0,74.3,5.3,7.6,0.3
94,Onde-onde,100,336.0,57.9,4.0,9.8,
95,Padamaran,100,171.0,18.8,3.9,8.9,
96,Pastel,100,307.0,42.4,4.5,13.3,
97,Pulut,100,216.0,44.4,2.6,3.1,
98,Pundut nasi,100,104.0,15.1,1.9,4.1,0.4
99,Putri selat,100,163.0,23.8,2.2,6.5,
100,Putu sopa,100,215.0,41.1,3.3,4.1,
101,Renggi goreng,100,471.0,64.1,4.7,21.8,6.4
102,Roti boong,100,341.0,43.3,5.5,16.2,
103,Roti warna sawo matang,100,249.0,49.7,7.9,1.5,
104,Sarimuka,100,166.0,32.9,2.3,2.8,
105,Spaghetti,100,139.0,22.6,7.4,2.1,
106,Srikaya ketan,100,265.0,49.1,2.7,6.4,
107,Sunduk lawang,100,181.0,32.4,1.9,1.3,
108,Suwir-suwir,100,347.0,84.2,0.5,0.9,0.8
109,Tipa-tipa,100,355.0,79.8,6.2,1.2,1.3
110,Wajit camilan,100,303.0,63.3,6.3,2.7,6.9
111,Widaran,100,424.0,80.7,1.3,10.7,0.2
112,Wingko babat,100,355.0,51.4,3.2,15.1,2.4
113,Yangko,100,254.0,58.1,3.0,1.1,0.8
114,Putri hijau,100,189.0,37.2,5.4,2.1,
115,"Beras giling, mentah",100,357.0,77.1,8.4,1.7,0.2
116,"Beras giling var pelita, mentah",100,369.0,77.1,9.5,1.4,0.4
117,"Beras giling var rojolele, mentah",100,357.0,77.1,8.4,1.7,0.2
118,"Beras hitam, mentah",100,351.0,76.9,8.0,1.3,20.1
119,"Beras jagung kuning, kering, mentah",100,358.0,82.7,5.5,0.1,10.0
120,"Beras jagung putih, kering, mentah",100,307.0,71.8,4.8,0.1,10.0
121,"Beras ketan hitam tumbuk, mentah",100,360.0,74.5,8.0,2.3,1.0
122,"Beras ketan putih tumbuk, mentah",100,361.0,78.4,7.4,0.8,0.4
123,"Beras ladang, mentah",100,376.0,78.0,7.5,3.8,5.9
124,"Beras menir, mentah",100,362.0,73.0,7.7,4.4,0.2
125,Beras parboiled,100,353.0,80.0,6.8,0.6,0.5
126,"Beras tumbuk, mentah",100,354.0,79.9,7.8,0.4,3.8
127,"Beras tumbuk merah, mentah",100,352.0,76.2,7.3,0.9,0.8
128,"Cantel, mentah",100,366.0,73.0,11.0,3.3,1.2
129,"Jagung muda, kuning, mentah",100,147.0,31.5,5.1,0.7,1.3
130,"Jagung kuning pipil, kering, mentah",100,366.0,69.1,9.8,7.3,2.2
131,"Jagung pipil var. harapan, kering",100,367.0,76.2,6.2,5.1,2.6
132,"Jagung pipil var. metro, kering",100,368.0,78.0,5.5,4.6,2.9
133,"Jali, mentah",100,324.0,61.0,11.0,4.0,3.1
134,"Jawawut, mentah",100,364.0,73.4,9.7,3.5,8.2
135,"Jampang huma, mentah",100,350.0,78.2,6.2,1.4,1.7
136,"Batatas kelapa, ubi, bakar",100,110.0,23.4,1.4,1.1,4.5
137,"Batatas kelapa, ubi, kukus",100,92.0,21.0,1.2,0.3,4.1
138,"Batatas tali, ubi, rebus",100,182.0,42.2,2.4,0.4,9.2
139,"Belitung, talas, kukus",100,145.0,34.2,1.2,0.4,1.0
140,"Bentul, talas, kukus",100,71.0,15.4,2.3,0.3,0.5
141,"Gadung, ubi, kukus",100,88.0,20.9,0.6,0.3,0.9
142,"Ganyong, rebus",100,100.0,23.8,0.8,0.2,0.9
143,Ketela pohon/singkong kukus,100,153.0,36.4,1.2,0.3,1.3
144,"Suweg, talas, kukus",100,93.0,21.9,1.5,0.1,0.9
145,"Talas bogor, kukus",100,120.0,28.2,1.5,0.3,0.7
146,"Ubi jalar, kuning, kukus",100,100.0,23.8,0.7,0.3,1.0
147,Ubi jalar tinta/ kemayung kukus,100,165.0,39.8,0.9,0.2,1.1
148,Bagea kelapa asin,100,450.0,78.1,3.2,13.9,
149,Bagea kelapa manis,100,452.0,80.6,1.3,13.8,
150,Bagea kenari asin,100,529.0,63.6,3.2,29.1,
151,Bagea kenari manis,100,523.0,64.2,3.2,28.2,
152,Bagea kw 1,100,416.0,76.3,6.5,9.4,0.4
153,Bagea kw 2,100,382.0,87.2,0.3,3.5,0.9
154,Beras Cerdas,100,350.0,82.3,2.7,1.1,6.2
155,Beras ganyong,100,364.0,86.3,3.4,0.7,4.7
156,Beras Siger,100,344.0,28.3,1.1,0.2,5.6
157,Biji nangka/Biji salak,100,262.0,51.1,2.3,5.4,8.0
158,Bubur sagu,100,167.0,33.0,0.2,4.0,
159,Cassavastick,100,460.0,17.2,0.8,18.7,1.6
160,Ceriping getuk singkong,100,462.0,67.7,1.2,20.7,0.6
161,Gatot,100,347.0,83.8,1.3,0.7,5.8
162,Geblek,100,195.0,44.4,0.4,1.7,3.6
163,Getuk goreng,100,360.0,74.3,1.3,6.4,0.8
164,Getuk singkong,100,204.0,47.4,0.5,1.4,0.8
165,Gurandil,100,218.0,48.5,0.5,2.5,3.1
166,Kabuto,100,250.0,35.4,2.6,2.5,1.8
167,Kapurung,100,41.0,7.8,2.0,0.3,2.0
168,Kecimpring singkong goreng,100,464.0,73.0,1.2,18.6,1.3
169,Keremes,100,475.0,64.4,1.6,25.2,2.1
170,Keripik gadung,100,446.0,76.0,2.8,14.5,1.7
171,Keripik kentang,100,448.0,67.1,2.7,18.8,3.8
172,Keripik singkong,100,478.0,72.0,0.9,20.7,2.0
173,Keripik singkong berbumbu,100,481.0,73.6,2.2,19.7,1.6
174,Keripik ubi,100,486.0,67.6,0.2,23.9,14.3
175,Kerupuk cumi goreng,100,444.0,71.3,6.9,14.6,5.0
176,Kerupuk kemplang (ikan) mentah,100,325.0,78.5,1.8,0.4,4.5
177,Kerupuk kemplang goreng,100,504.0,57.1,5.6,28.1,0.3
178,Kerupuk kemplang panggang,100,356.0,76.9,9.7,1.1,1.0
179,Kerupuk mie kuning goreng,100,476.0,71.3,0.1,21.1,4.2
180,Kerupuk udang goreng,100,477.0,68.5,4.7,20.5,5.0
181,Kue bangket,100,338.0,80.3,1.5,1.2,
182,Kue putu singkong,100,217.0,53.2,1.2,0.5,2.4
183,Lanting getuk,100,422.0,80.4,0.9,10.8,1.4
184,Mi golosor,100,71.0,15.9,0.2,0.8,0.1
185,Mie Bendo,100,353.0,88.0,0.3,,2.4
186,Mie Sagu,100,190.0,46.5,0.2,0.4,1.4
187,Ongol-ongol sagu,100,111.0,21.2,0.3,2.7,0.3
188,Oyek,100,351.0,84.9,0.9,0.9,4.3
189,Papeda,100,61.0,14.9,0.2,0.1,0.5
190,Rasbi (Beras Ubi),100,394.0,76.6,2.2,8.8,6.8
191,Rasi (Beras Singkong),100,350.0,85.7,0.9,0.4,14.4
192,Sagu forno,100,291.0,63.4,0.5,4.0,
193,Sagu Lemak (Kue Sagon),100,452.0,76.8,2.8,14.8,1.1
194,Sagu manis,100,287.0,62.4,0.5,3.9,
195,Sagu Rendang,100,364.0,90.5,0.1,0.2,1.9
196,Sagu sinole,100,354.0,68.9,0.8,8.3,
197,Serimping talas kebumen,100,478.0,69.2,2.5,21.2,1.7
198,Tapai singkong,100,169.0,40.2,1.4,0.3,2.0
199,Tepung Arrowroot,100,355.0,85.2,0.7,0.2,0.4
200,Tepung Ganyong,100,353.0,83.6,0.8,1.7,0.7
201,Tepung Gaplek,100,345.0,83.1,2.4,0.4,6.7
202,"Tepung kentang, kering",100,347.0,85.6,0.3,0.1,0.4
203,Tepung Mocaf,100,350.0,85.0,1.2,0.6,6.0
204,Tepung Sente,100,326.0,76.7,4.0,0.4,8.5
205,Tepung singkong/ Tapioka,100,363.0,88.2,1.1,0.5,0.9
206,Tepung Tales Beneng,100,332.0,76.1,5.7,0.6,12.2
207,Tepung Ubi Ungu,100,354.0,84.4,2.8,0.6,12.9
208,Tiwul,100,353.0,83.4,2.4,1.1,6.5
209,Tiwul Instan,100,395.0,76.5,3.2,8.5,4.2
210,Ubi Cilembu,100,186.0,44.3,1.9,0.2,3.4
211,Uli batatas,100,150.0,27.4,1.1,4.0,
212,"Arrowroot, segar",100,102.0,24.1,1.0,0.2,1.7
213,"Batatas gembili, segar",100,76.0,16.0,1.1,0.9,4.2
214,"Batatas kelapa, ubi, segar",100,89.0,21.0,1.1,0.1,4.0
215,"Belitung, talas, segar",100,145.0,34.2,1.2,0.4,1.5
216,"Bengkuang, segar",100,59.0,12.8,1.4,0.2,1.0
217,"Bentul (Komba), talas, segar",100,98.0,20.9,1.6,0.7,0.7
218,"Gadeng/Gadung, kering",100,322.0,76.6,2.4,0.6,
219,"Gadung, ubi, segar",100,100.0,23.5,0.9,0.3,2.1
220,"Ganyong, segar",100,77.0,18.4,0.6,0.2,0.8
221,"Gembili, ubi, segar",100,131.0,31.3,1.1,0.2,1.1
222,"Hofa/Ubi hutan, segar",100,127.0,29.5,1.2,0.5,3.4
223,"Kaburan, ubi, segar",100,133.0,32.2,1.0,0.2,0.7
224,"Kentang, segar",100,62.0,13.5,2.1,0.2,0.5
225,"Kentang hitam, segar",100,142.0,33.7,0.9,0.4,5.4
226,"Keribang, ubi, segar",100,137.0,29.8,1.3,1.1,0.6
227,"Ketela pohon/ singkong, segar",100,154.0,36.8,1.0,0.3,0.9
228,Lepok/Ubi rumput,100,181.0,39.8,2.8,1.2,10.7
229,"Sagu aren, kering",100,355.0,85.6,0.6,1.1,0.3
230,"Sagu aren, segar",100,231.0,56.6,0.6,0.2,3.2
231,Sagu kasbi segar,100,230.0,56.5,0.6,0.2,3.0
232,Sagu lempeng,100,347.0,85.2,0.9,0.3,4.7
233,"Sagu singkong, kering",100,362.0,86.9,0.5,0.3,
234,"Sente, talas, segar",100,353.0,84.7,0.7,0.2,6.6
235,"Suweg, talas, segar",100,74.0,17.2,1.4,0.1,1.4
236,"Talas bogor, segar",100,108.0,25.0,1.4,0.4,0.9
237,"Talas pontianak, segar",100,163.0,36.4,2.3,0.5,0.7
238,"Talas viqueque, segar",100,115.0,25.9,1.8,0.5,8.6
239,"Ubi jalar, kuning, segar",100,119.0,25.1,0.5,0.4,4.2
240,"Ubi jalar manis, segar",100,83.0,18.8,1.5,0.2,0.6
241,"Ubi jalar merah, segar",100,151.0,35.4,1.6,0.3,0.7
242,"Ubi jalar putih, segar",100,88.0,20.6,0.4,0.4,4.0
243,Ubi jalar tinta/ kemayung,100,108.0,25.6,0.5,0.4,4.2
244,"Umbi Uwi, segar",100,120.0,82.3,2.8,0.5,2.6
245,"Kacang belimbing (kecipir), rebus",100,204.0,17.5,16.9,8.8,4.8
246,"Kacang bogor, goreng",100,479.0,58.9,12.7,23.2,1.2
247,"Kacang bogor, rebus",100,161.0,27.1,7.7,2.8,2.0
248,"Kacang gude, rebus",100,147.0,27.5,9.0,0.5,3.4
249,"Kacang hijau, rebus",100,109.0,18.3,8.7,0.5,1.5
250,"Kacang kedelai, goreng",100,521.0,22.9,32.2,37.7,7.6
251,"Kacang kedelai, rebus",100,189.0,12.7,20.2,8.2,1.6
252,"Kacang merah kering, rebus",100,158.0,28.2,10.3,0.9,2.6
253,"Kacang merah segar, rebus",100,144.0,24.7,10.0,1.0,3.5
254,"Kacang mete/biji jambu monyet, goreng",100,629.0,19.8,20.4,56.3,1.1
255,Kacang tanah rebus dg kulit,100,360.0,12.8,13.5,31.2,
256,"Kacang tanah, goreng",100,564.0,25.5,25.5,44.4,2.8
257,"Kacang tanah, rebus",100,220.0,8.0,10.6,18.0,1.0
258,"Kacang tolo / tunggak, rebus",100,138.0,22.6,10.7,1.1,0.9
259,Ampas kacang hijau,100,96.0,19.1,3.7,0.6,2.7
260,"Ampas tahu, mentah",100,67.0,8.1,5.0,2.1,4.1
261,Ampas tahu kukus,100,75.0,10.7,4.1,2.1,5.1
262,"Ampas tahu, kering",100,414.0,41.3,26.6,18.3,
263,Pepes oncom ampas tahu,100,76.0,10.6,5.2,1.8,2.2
264,Bungkil biji karet,100,333.0,50.0,29.3,3.3,
265,Bungkil kacang tanah,100,336.0,30.5,37.4,13.0,
266,Bungkil kelapa,100,368.0,40.0,23.0,15.0,
267,Dodol banjarmasin,100,368.0,70.0,2.6,8.6,0.5
268,Emping (kerupuk melinjo),100,345.0,71.5,12.0,1.5,
269,Emping komak,100,355.0,60.7,17.8,4.6,
270,Enting-enting gepuk hello kity,100,538.0,52.6,13.6,30.3,0.2
271,Enting-enting gepuk kacang tanah,100,524.0,52.0,13.3,29.2,0.2
272,Enting-enting wijen,100,565.0,36.8,18.2,38.4,1.9
273,Geplak,100,350.0,53.6,1.4,14.4,1.8
274,Geplak jahe,100,462.0,57.7,3.1,24.4,3.3
275,Kacang atom,100,533.0,28.8,27.8,38.1,2.5
276,Kacang goyang,100,516.0,44.4,14.7,31.1,
277,Kacang negara,100,480.0,58.5,18.4,19.1,11.7
278,Kacang sukro,100,484.0,57.7,8.8,26.1,1.8
279,Kacang tanah sari,100,561.0,26.0,25.5,43.8,2.2
280,Keju kacang tanah (peanut butter),100,590.0,20.9,27.0,49.0,1.6
281,Kembang tahu,100,380.0,23.3,48.9,13.8,
282,Kembang tahu rebus,100,90.0,4.7,10.7,4.0,
283,Keripik oncom,100,598.0,42.6,8.3,43.8,3.3
284,Keripik tempe,100,581.0,41.7,12.1,40.6,2.2
285,Keripik tempe abadi besar,100,556.0,39.8,15.8,37.1,3.5
286,Keripik tempe abadi murni,100,542.0,11.6,40.3,42.4,2.2
287,Keripik tempe abadi sedang,100,510.0,52.4,12.3,27.9,3.6
288,Keripik tempe abadi telur,100,529.0,40.2,20.8,31.7,3.0
289,Keripik tempe abadi prima,100,540.0,42.0,16.7,33.9,2.2
290,Kwaci,100,515.0,13.8,30.6,42.1,13.6
291,Melinjo emping tebal goreng manis,100,439.0,65.7,10.0,16.4,
292,"Melinjo emping tebal, goreng asin",100,431.0,63.0,11.1,16.2,
293,Melinjo emping tipis goreng,100,485.0,59.1,11.5,24.5,
294,Moon tahu,100,128.0,1.3,8.0,10.0,0.2
295,Oncom,100,187.0,22.6,13.0,6.0,
296,Oncom ampas kacang hijau,100,376.0,65.7,14.9,6.0,12.3
297,Oncom kacang hijau + singkong,100,351.0,65.9,11.0,5.3,9.0
298,Oncom kacang tanah pepes,100,132.0,13.7,12.7,3.8,3.1
299,Rempeyek kacang tanah,100,513.0,44.3,17.5,32.5,1.7
300,Rempeyek kacang tolo,100,451.0,59.7,11.2,20.2,1.8
301,Rempeyek kacang uci,100,497.0,50.8,17.0,27.6,2.4
302,Sayur lebui,100,64.0,12.5,2.1,0.6,5.7
303,"Saridele, bubuk",100,344.0,43.0,30.0,20.0,6.2
304,Susu kedelai,100,41.0,5.0,3.5,2.5,0.2
305,"Tahu, mentah",100,80.0,0.8,10.9,4.7,0.1
306,Tahu goreng,100,115.0,2.5,9.7,8.5,0.1
307,Tahu telur,100,328.0,24.6,12.6,19.9,0.4
308,Takwa,100,148.0,4.0,13.8,8.5,
309,Tauco,100,184.0,22.2,11.4,5.5,1.9
310,"Tauco cap beruang, cake",100,347.0,67.6,7.4,5.2,3.2
311,"Tauco cap DAS, cake",100,358.0,70.4,7.5,4.3,3.1
312,Tauco cap meong,100,159.0,21.3,7.4,4.9,1.6
313,Tauji cap singa,100,277.0,49.6,9.1,4.7,1.2
314,Tempe bongkrek,100,119.0,18.3,4.4,3.5,
315,Tempe gembus P3G,100,73.0,10.3,5.7,1.3,4.2
316,Tempe gembus yogya,100,76.0,10.6,6.8,0.7,5.3
317,Tempe kacang babi,100,139.0,21.9,12.5,0.8,1.8
318,Tempe kecipir (kacang belimbing),100,212.0,12.9,17.5,10.0,2.9
319,Tempe kedelai + jagung,100,143.0,11.4,12.0,5.5,1.9
320,"Tempe kedelai murni, goreng",100,350.0,10.4,24.5,26.6,4.2
321,"Tempe kedelai murni, mentah",100,201.0,13.5,20.8,8.8,1.4
322,Tempe koro benguk,100,141.0,23.2,10.2,1.3,
323,Tempe lamtoro,100,128.0,21.3,10.7,0.5,7.1
324,Tempe lamtoro var. gung dengan kulit,100,146.0,19.6,11.7,2.3,7.6
325,Tempe lamtoro var. gung tanpa kulit,100,131.0,13.0,18.0,0.8,1.3
326,Tempe pasar,100,150.0,9.1,14.0,7.7,1.4
327,Tempe pasar goreng,100,336.0,7.8,20.0,28.0,3.4
328,Tepung hunkwe (pati kacang ijo),100,364.0,83.5,4.5,1.0,16.1
329,Tepung Jalejo,100,388.0,61.2,19.0,7.5,5.8
330,Tepung kacang kedelai,100,347.0,29.9,35.9,20.6,5.8
331,"Kacang arab, kering",100,330.0,60.2,23.8,1.4,17.4
332,"Kacang babi, kering",100,341.0,51.3,30.4,3.2,4.5
333,"Kacang belimbing (kecipir), kering",100,400.0,34.1,34.4,16.9,10.7
334,"Kacang beracun, segar",100,118.0,21.6,4.4,1.5,
335,"Kacang bogor, kering",100,370.0,65.0,16.0,6.0,26.3
336,"Kacang bogor, segar",100,165.0,27.4,7.7,3.1,2.5
337,"Kacang endel, biji, kering",100,331.0,58.0,25.0,1.0,23.6
338,"Kacang ercis, segar",100,129.0,18.3,12.4,0.7,28.6
339,"Kacang galing, segar",100,336.0,59.5,23.1,1.7,
340,"Kacang gude, biji, kering",100,316.0,58.0,20.7,1.0,4.6
341,"Kacang gude, biji, segar",100,114.0,20.8,7.0,0.6,4.4
342,"Kacang hijau var. bakti, kering",100,350.0,70.7,17.1,1.8,5.7
343,"Kacang hijau var. siwalik, kering",100,339.0,64.6,20.8,2.1,7.4
344,"Kacang hijau, kering",100,323.0,56.8,22.9,1.5,7.5
345,"Kacang hitam, kering",100,346.0,66.1,16.6,1.7,22.8
346,"Kacang kapri, segar",100,98.0,17.7,6.7,0.4,6.2
347,"Kacang kedelai, kering",100,381.0,24.9,40.4,16.7,3.2
348,"Kacang kedelai, segar",100,286.0,30.1,30.2,15.6,
349,"Kacang kincai, kering",100,444.0,55.0,19.9,16.0,
350,"Kacang komak, segar",100,327.0,55.8,16.4,4.3,0.5
351,"Kacang kuning, kering",100,355.0,66.0,17.0,2.5,15.1
352,"Kacang lebui /iris, kering",100,346.0,66.6,16.5,1.5,37.3
353,"Kacang mentega, kering",100,344.0,64.6,16.7,2.1,13.0
354,"Kacang merah/banda, kering",100,350.0,66.9,13.9,3.0,26.3
355,"Kacang merah tua, kering",100,280.0,63.2,16.7,1.6,4.6
356,"Kacang merah, kering",100,314.0,56.2,22.1,1.1,4.0
357,"Kacang merah, segar",100,171.0,28.0,11.0,2.2,2.1
358,"Kacang mete/biji jambu monyet, segar",100,616.0,28.7,16.3,48.4,0.9
359,"Kacang panjang, biji, kering",100,357.0,68.6,17.3,1.5,10.6
360,Kacang tanah sangan,100,560.0,24.1,29.5,43.0,2.9
361,Kacang tanah sangan tanpa selaput,100,559.0,23.6,26.9,44.2,2.6
362,"Kacang tanah, kering",100,525.0,17.4,27.9,42.7,2.4
363,"Kacang tolo / tunggak, kering",100,331.0,56.6,24.4,1.9,1.6
364,"Kacang tunis, kering",100,351.0,72.9,12.2,1.2,29.5
365,"Kacang uci, kering",100,358.0,60.6,23.4,2.4,7.4
366,"Kacang urei, kering",100,354.0,69.3,12.8,1.8,26.1
367,"Kenari banda, kering",100,616.0,13.7,13.9,56.2,
368,"Kenari, kering",100,657.0,13.0,15.0,66.0,
369,"Komak polong, segar",100,99.0,21.2,3.3,0.1,10.3
370,"Koro andong, kering",100,356.0,61.6,20.5,4.1,7.0
371,"Koro benguk, biji, kering",100,332.0,55.0,24.0,3.0,5.6
372,"Koro kerupuk, biji, segar",100,125.0,22.1,8.3,0.7,2.2
373,"Koro loke, biji, segar",100,33.0,7.9,2.7,0.2,3.5
374,"Koro roay, kering",100,344.0,69.4,12.5,2.1,7.5
375,"Koro wedus, biji, kering",100,338.0,61.0,22.2,1.5,5.8
376,"Lamtoro biji, muda, segar",100,85.0,15.4,5.7,0.3,10.8
377,"Lamtoro biji, tua, segar",100,148.0,26.2,10.6,0.5,17.0
378,Lamtoro var. gung tanpa kulit,100,367.0,32.5,46.4,5.4,2.6
379,Lamtoro var. lokal dengan kulit,100,336.0,59.7,23.8,1.2,15.4
380,"Nangka, biji, segar",100,165.0,36.7,4.2,0.1,1.8
381,"Saga merah terkupas, mentah",100,449.0,31.9,30.6,25.5,3.5
382,"Wijen, mentah",100,568.0,18.1,19.3,51.1,3.6
383,"Bayam, kukus",100,30.0,5.8,1.3,0.7,1.2
384,"Bayam, rebus",100,23.0,3.7,1.2,0.6,1.1
385,"Buncis, rebus",100,30.0,6.4,2.2,0.2,1.5
386,"Daun kacang panjang, kukus",100,40.0,8.0,3.7,0.3,1.8
387,"Daun katuk, rebus",100,53.0,9.1,5.3,0.9,1.2
388,"Daun kelor, rebus",100,61.0,10.0,6.1,0.9,0.9
389,"Daun mengkudu, kukus",100,63.0,11.5,3.8,1.5,2.4
390,"Daun singkong, rebus",100,31.0,4.8,3.7,0.6,1.6
391,"Daun talas, rebus",100,27.0,5.9,1.3,0.2,1.6
392,"Daun ubi merah, kukus",100,56.0,13.0,3.1,0.3,1.5
393,"Kacang panjang, kukus",100,39.0,7.6,3.0,0.6,1.7
394,"Kacang panjang, rebus",100,30.0,5.8,2.3,0.4,1.4
395,"Kangkung, kukus",100,30.0,4.7,3.2,0.7,1.8
396,"Kangkung, rebus",100,22.0,3.1,2.5,0.6,1.2
397,"Paria putih, kukus",100,16.0,3.4,0.8,0.2,1.2
398,"Selada, rebus",100,19.0,2.9,2.7,0.2,0.7
399,"Taoge, goreng",100,88.0,14.0,3.2,2.1,0.7
400,"Taoge, seduh",100,28.0,4.0,3.0,0.8,1.0
401,"Terung panjang, kukus",100,23.0,4.9,1.8,0.1,0.4
402,"Wortel, rebus",100,28.0,6.3,0.7,0.5,0.8
403,"Wortel, kukus",100,37.0,8.3,1.0,0.6,1.1
404,"Asinan Bogor, sayuran",100,98.0,14.8,3.9,2.6,0.5
405,"Anyang, sayur",100,126.0,10.3,3.4,7.9,5.4
406,"Ares, sayur",100,113.0,11.2,0.9,7.2,4.7
407,Arwan sirsir,100,277.0,10.7,2.4,25.0,4.6
408,Beberuk,100,65.0,3.5,1.1,5.2,3.1
