No,Nama_Bahan,Porsi_g,Kalori_kal,Karbohidrat_g,Protein_g,Lemak_g,Serat_g
681,"Mangga golek, segar",100,63.0,16.7,0.5,0.2,2.3
682,"Mangga harumanis, segar",100,46.0,11.9,0.4,0.2,1.7
683,"Mangga indramayu, segar",100,72.0,18.7,0.8,0.2,2.5
684,"Mangga kopek, segar",100,56.0,14.6,0.4,0.2,2.0
685,"Mangga kwini, segar",100,86.0,19.8,0.7,0.5,6.5
686,"Mangga manalagi, segar",100,133.0,32.1,1.0,0.1,11.8
687,"Mangga muda, segar",100,59.0,15.1,0.5,0.4,
688,"Manggis, segar",100,63.0,15.6,0.6,0.6,1.5
689,"Markisa, segar",100,144.0,29.8,3.5,1.2,11.4
690,"Matoa, segar",100,90.0,21.1,1.2,0.1,0.5
691,"Melon, segar",100,37.0,7.8,0.6,0.4,1.0
692,"Menteng, segar",100,65.0,16.1,1.7,0.3,
693,"Nanas palembang, segar",100,58.0,13.3,0.7,0.2,1.6
694,"Nanas, segar",100,40.0,9.9,0.6,0.3,0.6
695,"Nangka masak pohon, segar",100,106.0,27.6,1.2,0.3,3.7
696,"Pala, daging, segar",100,42.0,10.9,0.3,0.2,0.5
697,"Pepaya, segar",100,46.0,12.2,0.5,12.0,1.6
698,"Pisang ambon, segar",100,108.0,24.3,1.0,0.8,1.9
699,"Pisang angleng (pisang ampyang), segar",100,68.0,17.2,1.3,0.2,0.8
700,"Pisang ayam, segar",100,120.0,26.8,1.1,0.2,4.1
701,"Pisang gapi, segar",100,127.0,31.1,2.1,0.3,11.7
702,"Pisang goroho, segar",100,115.0,27.9,1.9,0.2,4.6
703,"Pisang hijau, segar",100,117.0,28.9,2.0,0.3,0.4
704,"Pisang kayu, segar",100,100.0,23.6,1.4,0.5,2.6
705,"Pisang kepok, segar",100,109.0,26.3,0.8,0.5,5.7
706,"Pisang ketip, segar",100,145.0,34.5,1.1,0.3,6.6
707,"Pisang kidang, segar",100,96.0,22.5,1.0,0.2,0.6
708,"Pisang lampung, segar",100,99.0,25.6,1.3,0.2,4.3
709,"Pisang mas bali ampenan, segar",100,92.0,21.0,1.4,0.2,3.7
710,"Pisang mas bali kopang, segar",100,127.0,31.8,1.4,0.2,3.7
711,"Pisang mas, segar",100,127.0,33.6,1.4,0.2,1.4
712,"Pisang raja sereh, segar",100,108.0,28.2,1.3,0.3,0.7
713,"Pisang raja, segar",100,120.0,31.8,1.2,0.2,5.3
714,"Pisang rotan, segar",100,98.0,20.5,1.3,1.2,1.0
715,"Pisang talas, segar",100,113.0,26.7,1.2,0.2,4.4
716,Pisang tujuh bulan,100,94.0,22.5,0.6,0.2,3.7
717,"Pisang ua, segar",100,128.0,30.2,0.8,0.5,8.1
718,"Pisang uli, segar",100,134.0,35.5,1.1,0.5,1.4
719,"Purut, segar",100,76.0,15.2,4.1,1.1,1.7
720,"Rambutan binjai, segar",100,76.0,18.0,0.5,0.2,3.8
721,"Rambutan, segar",100,69.0,18.1,0.9,0.1,0.8
722,"Salak bali, segar",100,57.0,13.6,0.5,0.1,1.3
723,"Salak medan, segar",100,55.0,12.8,0.4,0.2,3.2
724,"Salak pondoh, segar",100,87.0,20.1,0.8,0.4,
725,"Salak, segar",100,77.0,20.9,0.4,,
726,"Sawo duren, segar",100,64.0,8.0,1.0,3.1,0.8
727,"Sawo kecik, segar",100,111.0,21.6,0.9,2.3,1.0
728,"Sawo Manila, segar",100,92.0,22.4,0.5,1.1,9.5
729,"Semangka, segar",100,28.0,6.9,0.5,0.2,0.4
730,"Sirsak, segar",100,65.0,16.3,1.0,0.3,3.2
731,"Sowa, segar",100,48.0,9.1,1.6,0.6,45.0
732,"Srikaya, segar",100,63.0,13.9,1.1,0.5,2.1
733,"Sukun muda, segar",100,119.0,28.1,1.4,0.2,1.4
734,"Sukun tua, segar",100,126.0,24.5,1.6,0.2,1.5
735,"Vigus, segar",100,44.0,8.3,2.4,0.1,
736,"Wani, segar",100,74.0,17.1,0.8,0.3,3.1
737,"Mentimun Suri, segar",100,16.0,2.1,1.3,0.0,0.9
738,"Blewah, segar",100,34.0,8.2,0.8,0.2,0.9
739,"Ayam, ampela, goreng",100,270.0,9.9,32.3,11.2,
